Name,Organization,Project
Lenka Hasova,NumFOCUS,"Competing destination for Spatial Interaction models, SpInt/PySal"
Gagandeep Singh,NumFOCUS,Supporting Arrays and Allocatables in LFortran
Dhruv Sachdev,CHAOSS Project,"Develop a Shared Data Resource Focused on Dependencies, Risks and Vulnerabilities in Open Source Software"
Aoji Xie,Open Genome Informatics,Authentication and Authorization Service for the Alliance of Genome Resources
Rashmi Raj,openastronomy,Modern Statistical Modeling in Stingray
Lokesh Rana,Open Genome Informatics,Visualization Of Systems-Level Gene Annotation  (UI-Side)
Fernando Martin,RoboComp,Port of AGM from Python 2 to Python 3
Abhishek Kumar Jha,The ENIGMA Team,Android Support for ENIGMA
Z0marlin,CNCF,OpenEBS: Update mount-points and capacity of Block Devices without restarting NDM
Sudeep Sidhu,SymPy,Implement JointsMethod
Zeeshan Rafique,Free and Open Source Silicon Foundation,M-extension support for SERV
Arjun Gupta,Oppia Foundation,Implement feature flags & platform parameters
Tushar Jain-2,CERN-HSF,Accuracy and parallel computation in parton density calculation
Germano dos Santos,NumFOCUS,PySal: Open Source Facility Location Modeling (spopt) Development
Jaiwanth,Matrix.org,Exporting Conversations From Element
Anshuman Singh-1,GitLab,Writing SAST Vulnerability Rules
Geetansh Saxena,NumFOCUS,COLOUR: Adding new colour models
Abhirup Pal,Python Software Foundation,EOS: Improving Adobe XD Plugin and Creating Angular Library
Mihai Popescu,Open Bioinformatics Foundation,"Data streaming in scientific workflows, implementation for Toil"
Jeppe Blomgren,MetaCall,WebAssembly loader
SUSHANT A.A.,Inkscape,Verbs to Gio::Actions
Zulai Wang,Ceph,USING BALANCED_READS ON RGW CALLS TO RADOS
Maneesh P M,Kiwix,Improve suggestion and full-text search features in Kiwix
Zihao Mu,OpenCV,Loop closure algorithm based on HF-Net+BoW for depth fusion
Dhairya Khanna,Wikimedia Foundation,Gamified Knowledge Base Completion Plugin for Wikibase/Wikidata
Ross Viljoen,The Julia Language,Implementing Advanced Variational Gaussian Process Models
Dev Sebastian,International Catrobat Association,Support for Particle Physics in Catrobat
Nur El-Din El-Rez,International Catrobat Association,Room Database Integration
Kartikay Sharma,Digital Impact Alliance (DIAL) at UN Foundation,PSLab: Add support of PSLab to sigrok
Rishabh Kumar,The Libreswan Project,Extend RFC-7427 Signature Authentication Support To IKEv2 With EDDSA Support
Devesh Kumar,JBoss Community,Create and Enhance APIs related to Education Platform
Katrix,Scala Center,Cross compiling “Shapeless 2” to “Scala 3”
Eshan Tripathi-1,PEcAn Project,Website Updates
Dmitrii Klepikov,OpenCV,3D samples using OpenGL and GLFW
Maximiliano Sandoval,GNOME Foundation,Design tooling: port to gtk 4
dvd48,International Catrobat Association,Sparkling Embroidery
Abhimanyu Rawat,The Honeynet Project,RIoTPot - Honeypot for IOT/OT devices
mablin,Joplin,Kanban Board Plugin for Joplin
Draeand,TianoCore,Audio output protocol
ZheNing Hu,Git,Use ref-filter formats in git cat-file
Noah Bouchier,NumFOCUS,ESDA enhancements: Distortion Index
Asha Sulaiman,CiviCRM LLC,Integrate Spoke Peer-to-Peer Texting
boron,The Linux Foundation,LIDAR visualization application on AGL using ROS2
Pratik Dey,AboutCode,Integrate VirtualCodebase with Deltacode
Vikram Atreyapurapu,BRL-CAD,Implement UNDO and transactional changes
Aaryan Kothari,AOSSIE,Monumento iOS application
Rohan Lekhwani,Rocket.Chat,Poll App Mega Extensions
Aniket Bhat,OWASP Foundation,DefectDojo Modern UI
Wahab Oguntade,Postman,Chatbot for AsyncAPI Creators Project Proposal
Zelong Yue,libvirt,Test driver API coverage
Pratyush Ranjan,The Linux Foundation,CUPS Filters: Converting Filters to Filter Functions
Vishwas Adiga,MIT App Inventor,A Modular Approach To The App Inventor Projects View
Debabrata Mandal,The Julia Language,Network graph visualisation and animation support in Javis
danseraf,Software Heritage,Software Heritage Code Scanner Improvements for Production Environments
Singh Prabhat,BRL-CAD,Adding the Ability To BCF Libraries to connect to BCF API's.
Shivam Singh-3,The Apache Software Foundation,Redesign and develop APISIX landing page
Marvin Häuser,TianoCore,Integration of a formally verified Image Loader
Apoorv Srivastava,Oppia Foundation,Implement lightweight checkpointing
Alexander Slesarev,PostgreSQL,WAL-G optimization backup storage by remote-copy APIs
Pedro Falcato,TianoCore,EXT4 Filesystem driver
Lohith Munakala,Integrated Ocean Observing System (IOOS),Machine Learning for Sea Floor Sampling and IOOS Demo Data Center migration to Jupyterbook
itssingh,FOSSology,Integrating ScanCode Toolkit
rishabhsingh3003,ArduPilot,Precision Landing Improvements using Depth Camera
DEVANSH DIXIT,CircuitVerse.org,Project Recommendation System
Param Mirnai,OpenMined,Integrating scikit-learn into Syft
isabella Macchivello,Orcasound,Changing the frontend of OrcaSound
Syed Fahad,Boost C++ Libraries,Implementation of a new Quad-double type for Boost.Multiprecision
Fernando Casabán Blasco,DBpedia,Web app to generate RDF from DBpedia abstracts - Fernando Casabán Blasco
Bala Dhinesh,Free and Open Source Silicon Foundation,Virtual FPGA Lab
ear7h,Haskell.org,TOML Support in dhall-haskell
Sagilio,Casbin,Casbin for .NET
Aditya Ahuja,Machine Learning for Science (ML4SCI) Umbrella Organization,Normalizing Flows for Fast Detector Simulation
Yash Mathne,syslog-ng,Investigate the current state of syslog ng on MacOS
willpiper,ArduPilot,Custom Firmware Builder
Filip Adamik,The Honeynet Project,A Stitch In Time (saves nine)
Archit_Agrawal,CERN-HSF,RooUnfold - Efficient deconvolution using state of the art algorithms
kfb19,OpenMRS,Tackle Security Issues of OpenMRS
Ishaan Arora,Inkscape,Upgrade Django-based Website
Piumal Rathnayake,OpenMRS,Improving Functionalities of DHIS Connector Module
Anantha Rao,Machine Learning for Science (ML4SCI) Umbrella Organization,Decoding quantum states through Nuclear Magnetic Resonance
Psyogi Soma,INCF,Re-creating the Leech Heartbeat Network Model Tutorial using the Neuron Simulator in Python and NeuroML
NizarBen,VideoLAN,Improve the VideoLAN crash reporter in Go and Vue.js
Pulkit Sharma,Continuous Delivery Foundation,Security Validator for Jenkins Kubernetes Operator
Mohammad Hesam Shaelaie,NumFOCUS,Expanding support for the solution of bilevel optimization problems in JuMP.
Bui Quang Minh,CRIU,Add support for checkpoint/restore read and write queue of UDP socket
Husni Faiz,RTEMS Project,Beagleboard BSP Projects
Mahak Porwal,Kiwix,WP1 Selection
Konstantinos Pallikaris,GeomScale,Parallel Geometric Random Walks with Sparse Numerical Optimizations
Yeshuai Cui,CNCF,Merge Crossplane/OAM-Runtime with KubeVela by specify version
Allan Juan,Rocket.Chat,Language Power Tools
georgevdl,VideoLAN,MPD Server in VLC
Pushpinder Pal Singh,VideoLAN,Making VLC iOS app a one stop shop for all the media consumption and management
Akshay_Sharma,Python Software Foundation,Create a MIME Sniffing Library for Scrapy
Tomoki Sugiura,Cilium,Explicit Allow-Listing for ICMP
Rohit Menon,Ruby,Ractor-supported libraries
Abanoub Ghadban,GNOME Foundation,tracker: Improve custom ontology support
Mario Robert D'Ambrosio,AerospaceResearch.net,Python GUI Visualisation for MOLTO-3BP Engine
sn99,Xiph.Org Foundation,Implement butteraugli in av-metrics
Rachitt Shah,openastronomy,Stingray: DAVE GUI update
Mariam Fahmy,KDE Community,Adding new activities to GCompris
Nitesh Sinha,OpenWISP,New General Navigation Menu and UX improvements
Yiu Wai Chow,openSUSE Project,Update Kanidm project: MFA backup code
Ali A. Hariri,Machine Learning for Science (ML4SCI) Umbrella Organization,On the potential of graph-based models in High Energy Physics
aniketiq,MediaPipe,MediaPipe Cross-Platform Solution
Monalisha Ojha,CERN-HSF,Upgrading the Ganga graphical user interface
Cameron Connell,Plan 9 Foundation,Modernize the underlying data struct of edwood
Vaibhav Thakkar,GeomScale,Counting linear extensions
zhixiang Chen,Casbin,casbin enhancement
Angie Ortiz Giraldo,freifunk,LibreMesh Pirania UI
Shuai Wang,Ceph,LIBCEPHFSSQLITE — SQLite VFS on Ceph File System
Steph Prince,INCF,Conversion of public neurophysiology datasets to NeuroData Without Borders format
Aayush Sahu,Postman,AsyncDiff
SKefalidis,Xfce,Thunar Evolved
Jaidyn Levesque,Haiku,Caya Renovation
justin_fargnoli,Swift,Alive2 for SIL
Rohit Verma,Xiph.Org Foundation,(Live) listener statistics for Icecast
Khuda Dad Nomani,Postman,AsyncAPI duplications finder aka document optimizer
Krishna Kariya,The LLVM Compiler Infrastructure,Fix Fundamental Issues in LLVM IR
Vishal Mishra,Xiph.Org Foundation,Adding a return channel to Icecast server
peymaneh,Debian,Packaging Caddy
Tushar Kumar-2,LibreOffice,Implement Interface for external data source import into Calc
Aswin C,Rizin,Support for CPU and Platform Profiles
Xiaoyu Qiu,syslog-ng,GSoC 2021 Proposal: Add regexp-parser() (Xiaoyu Qiu)
Ritik Malik,CHAOSS Project,Automate Metrics Release and Process Improvement
Maanas Talwar,SCoRe Lab,GSoC 2021 Proposal for Scan8
sgeisler,TensorFlow,Details often make the difference and I pay attention to them! Coding experience meets state of the art research
Davide Pietrasanta,VideoLAN,Real-time subtitles for movies
Amarthya Sasi Kiran,RoboComp,Software agent for traffic and pedestrian traffic monitoring in outdoor environments using RGB cameras.
Swapnil Tripathi,KDE Community,Swapnil Tripathi's Proposal for Alligator : Podcast Support
Mengan Wang,Project WikiLoop,First-Ever Tibetan Spell Checker
Matthew Joyce,RTEMS Project,Adding New APIs from POSIX Standard 2021
Luca Ferranti,The Julia Language,Developing IntervalLinearAlgebra.jl
Bisakh Mondal,Chromium,Port power policies end-to-end tests
Daksh Doshi,Sugar Labs,Music Blocks Project Blocks Reorganization
Angela Remolina,Python Software Foundation,Improving Python’s online interpreter and more interactive exercises
Aashwin Vaish,ScummVM,GUI for Game Library Management
Shashwat Jaiswal,Checkstyle,Adaptation of Behavior Driven Development Ideas for Testing of Source Code Validation Algorithms
Riya Kalra,openSUSE Project,Convert Virtual Systems Page to ReactJS
Mohit Bhat,SCoRe Lab,NodeCloud - Digital Ocean Provider
Himanshu Garg,MIT App Inventor,ANIMATION IMPROVEMENTS
Smriti Tiwari,GeomScale,Detecting low Volatility anomaly in Stock Market
Asela Dasanayaka,SCoRe Lab,Revive TensorMap
Kartikey Rawat,TensorFlow,Implement Kernels for TensorFlow.JS WASM backend
peb,Python Software Foundation,Checker Creation Helper Script and Recommending Safe package versions
Natáli Anzanello,openastronomy,Astrometry - Gnuastro
Jan Gruber,The Honeynet Project,Extending DRAKVUF by an I/O-emulation module in order to camouflage its sandbox nature
sayshreya,FOSSology,ATARASHI - MINERVA
gourab337,Apertium,Adopting the Hindi-Bengali language pair (unreleased language pair).
grimmmyshini,CERN-HSF,Add numerical differentiation support in Clad
Pan Yue,Boost C++ Libraries,Boost.Python: asyncio event loop implementation using Boost.Asio
Simardeep Singh Sethi,NumFOCUS,Equadratures: Web Application based on Uncertainty Quantification
Shreyas Swanand Atre,BeagleBoard.org Foundation,Beagle-Config
Jixin Chen,"Center for Research in Open Source Software, UC Santa Cruz","Alpine, macOS support"
Xuewei Meng,FFmpeg,Guided Filter in FFmpeg
Trevor Karn,SageMath,G-invariants of the Orlik-Solomon and Orlik-Terao algebras
Ricardo Antunes,OpenCV,3D samples using OpenGL and GLFW
Shadow,SCoRe Lab,Proposal for CodeLabZ
Mahavir Singh,LibreHealth,Improve LibreHealth Toolkit Cost Of care Flutter Application And Web-App
Lorxu,The Terasology Foundation,Distinct Terrain Features for Metal Renegades
Beshiniii,SCoRe Lab,"CrawlerX - Develop Extensible, Distributed, Scalable Web Crawling System"
ricekot,OWASP Foundation,Adding Out-of-band Application Testing (OAST) Support to ZAP
Vaibhaw Khemka,RoboComp,Monocular Depth Estimation from RGB signals
Priyansh Garg,Zulip,Port Zulipbot to GitHub Actions
Akshat,Zulip,Refactor frontend-markdown processor using an extensible CommonMark parser
Omar Emara,The LLVM Compiler Infrastructure,Evolving the LLDB GUI
Lakshmi S,Free and Open Source Silicon Foundation,Black Parrot on Open-Source Google-Skywater 130nm node
Anustup Mukherjee,TensorFlow,Models to TF HUB and Garden
Yash Khasbage,Red Hen Lab,Anonymizing Audiovisual Data
Konstantina Skovola,PostgreSQL,Create procedural language extension for the Julia programming language
Abhishek Rawat,BRL-CAD,Generator for offline documentation
Boqian Xie,Casbin,Proposal for Casdoor and Casnode
SOUGATA DAS,SCoRe Lab,CodeLabs - FrontEnd Improvements
Thirumalai Shaktivel C,Fortran-lang,Finish AST generation
